company,website,focus,region,keywords
ERSG,https://www.ersg-global.com/,Renewable Energy Recruitment (Wind/Solar/Grid),Europe / Global,renewables; offshore wind; onshore wind; solar; grid; staffing
Taylor Hopkinson,https://www.taylorhopkinson.com/,Offshore Wind & Renewables Recruitment / Global Mobility,Europe / Global,offshore wind recruitment; global mobility; renewables staffing
Spencer Ogden,https://www.spencer-ogden.com/,Energy & Sustainability Recruitment,Europe / Global,energy recruitment; renewables; offshore wind; solar; grid
EarthStream Global,https://www.earthstreamglobal.com/,"Renewables, Power & Grid Recruitment",Europe / Global,renewables recruitment; power & grid; offshore wind; hydrogen
JD Ross Energy,https://www.jdrossenergy.com/,Renewable Energy Recruitment,Europe / Global,renewable energy recruitment; wind; solar; storage
The Green Recruitment Company,https://www.greenrecruitmentcompany.com/,Green Energy & Technology Recruitment,Europe / Global,green energy recruitment; renewables; clean tech
Piper Maddox,https://www.pipermaddox.com/,Clean Energy & CleanTech Recruitment,Europe / Global,clean energy recruitment; hydrogen; solar; grid
LSP Renewables,https://www.lsprenewables.com/,Renewable Energy Recruitment (Wind/Solar/Transmission),Europe / Global,offshore wind; onshore wind; solar; transmission; green hydrogen
VIQU Energy,https://viquenergy.com/,Utilities & Energy Recruitment,Europe (UK),energy recruitment; utilities; offshore wind; renewables
WTS Energy,https://www.wtsenergy.com/,Energy Recruitment & Manpower Services,Europe / Global,wind; renewable energy; oil & gas; project staffing
Nolan Recruitment,https://www.nolanrecruitment.com/,Offshore Wind & Renewable Energy Recruitment,Europe (UK),offshore wind recruitment; energy management; renewables
Airswift,https://www.airswift.com/,Energy Recruitment & Workforce Solutions,Europe / UAE / Global,offshore wind; oil & gas; EPC staffing; EoR
NES Fircroft,https://www.nesfircroft.com/,Technical Recruitment & Workforce Solutions (Energy),Europe / Global,wind; renewables; oil & gas; engineering staffing
Orion Group,https://www.orionjobs.com/,Energy & Engineering Recruitment,Europe / Global,oil & gas; renewables; offshore; engineering
WRS (Worldwide Recruitment Solutions),https://www.worldwide-rs.com/,Energy & Renewables Recruitment,Europe / Global,renewables; offshore; marine; EPC recruitment
Petroplan,https://www.petroplan.com/,Oil & Gas / Energy Transition Recruitment,Europe / Global,oil & gas recruitment; EPC; maintenance
Brunel,https://www.brunel.net/en,Engineering & Energy Workforce Solutions,Europe / Global,engineering staffing; energy; offshore; projects
TRS Staffing Solutions,https://www.trsstaffing.com/,EPC / Energy Staffing,Europe / Global,EPC staffing; engineering recruitment; construction
Progressive (SThree),https://www.progressiverecruitment.com/,STEM Recruitment (Engineering/Energy),Europe / Global,engineering recruitment; energy contractors; EPC
Morson Talent,https://www.morson.com/,Energy / Engineering Recruitment,Europe (UK),energy staffing; engineering; infrastructure
Matchtech,https://www.matchtech.com/,Engineering Recruitment (incl. energy/infrastructure),Europe (UK),engineering staffing; construction; infrastructure
Rullion,https://www.rullion.co.uk/,Energy & Infrastructure Recruitment,Europe (UK),energy recruitment; power; engineering; infrastructure
Capita Resourcing (energy projects),https://www.capita.com/,Workforce solutions (incl. infrastructure/energy),Europe (UK),workforce solutions; engineering; infrastructure
Gattaca,https://www.gattacaplc.com/,Engineering & Energy Recruitment group,Europe (UK),engineering recruitment; infrastructure; energy
Aston Carter,https://www.astoncarter.com/,Professional staffing (engineering/projects),Europe / Global,staffing; project services; engineering
Hays,https://www.hays.com/,Recruitment (incl. energy & construction),Europe / Global,recruitment; contractors; construction; energy
Robert Walters,https://www.robertwaltersgroup.com/,Professional recruitment (incl. energy),Europe / Global,recruitment; talent acquisition
PageGroup (Michael Page),https://www.page.com/,Recruitment (incl. energy/engineering),Europe / Global,recruitment; talent solutions
Randstad,https://www.randstad.com/,Staffing & HR services (incl. industry),Europe / Global,staffing; workforce solutions; industrial
Adecco,https://www.adecco.com/,Workforce Solutions,Europe / Global,staffing; industrial recruitment; engineering
ManpowerGroup,https://www.manpowergroup.com/,Workforce Solutions,Europe / Global,manpower; staffing; workforce solutions
GI Group,https://www.gigroup.com/,Staffing & HR services,Europe / Global,workforce solutions; industrial staffing
Kelly Services,https://www.kellyservices.com/,Staffing (incl. engineering),Europe / Global,staffing; engineering; technical
Allegis Group,https://www.allegisgroup.com/,Staffing group (engineering/tech),Europe / NA / Global,staffing; engineering; workforce
Adeptis Group,https://www.adeptisgroup.com/,Tech recruitment (adjacent),Europe,recruitment; talent
SThree,https://www.sthree.com/,STEM Staffing,Europe / Global,STEM recruitment; engineering contractors
Atlas Professionals,https://www.atlasprofessionals.com/,Offshore Wind & Marine Crewing,Europe / Global,offshore crewing; marine staffing; offshore wind
Faststream Recruitment,https://www.faststream.com/,"Maritime, Shipping & Energy Recruitment",Europe / Global,offshore crew recruitment; maritime recruitment; energy jobs
Oceanwide,https://oceanwidecrew.com/,Maritime & Energy Recruitment / HR services,Europe (NL),maritime recruitment; energy staffing; offshore
Seamariner,https://seamariner.com/,Marine Recruitment,Europe (UK),marine recruitment; offshore jobs
Clyde Marine Recruitment,https://www.clydemarine.com/,Maritime Recruitment,Europe (UK),marine recruitment; seafarers; offshore
Navis Consulting,https://www.navisconsulting.com/,Maritime & Cruise Recruitment,Europe (UK),maritime recruitment; offshore
Spinnaker Global,https://spinnaker-global.com/,Maritime & Shipping Recruitment,Europe (UK),shipping recruitment; maritime
V Group (VHR),https://www.v-hr.com/,Technical recruitment (Aerospace/Rail/Engineering),Europe / Global,engineering recruitment; contractors
Fircroft (brand under NES),https://www.nesfircroft.com/,Oil & Gas Recruitment,Europe / Global,oil & gas recruitment; offshore; refinery
Kintec Global,https://www.kintecglobal.com/,Energy Recruitment (O&G/EPC),Europe,oil & gas recruitment; EPC staffing
