url,industries,regions,keywords,prompt,notes,period,type,paywalled
https://renewablesnow.com/regions/europe/,Renewables,Europe,"https://renews.biz/       (this is the leading website, I have not seen it on the list soni have added it here)","Find all news related to new projects, new tenders, aquistions, project announcements and project plans.",also find names of actual people in the organisations that have been mentioned in the article. Find all companies involved and map out their involvement in the specific project with projected time line of when will they start activities. For projects thay have finished identify names and companies fromt he article which we can use to tap in.,Last 30 days,news,
https://www.rechargenews.com,,Global / EU,,,payable subscription needed to read articles,,news,yes
https://www.renewableenergyworld.com,,Global,"Entity Identification: Company, Organisation, Consortium, Developer, Operator, Supplier, Contractor, Partner, Investor, Agency, Consultancy

People & Decision Makers: CEO, COO, CFO, Managing Director, President, Vice President, Chairman, Board Member, Country Manager, Regional Head, Project Director, Project Manager, Operations Manager, Technical Director, Construction Director, Commissioning Manager, HR Director, HR Manager, Talent Acquisition Lead, Recruitment Manager, Workforce Planning Manager, Head of People

Project Involvement: Project, Initiative, Development, Construction, Installation, Commissioning, Operation, Expansion, Completion, Contract, Agreement, Partnership, Tender, Procurement, Supply, Manufacture, Deliver, Install, Operate, Maintain, Finance, Design, Consult

Timeline & Status: Start, Begin, Launch, Commence, Initiate, Kick-off, Groundbreaking, Phase, Stage, Milestone, Schedule, Deadline, Target, Expected, Projected, Planned, Completed, Finished, Delivered, Operational, Commissioned, Wrapped up, Handed over

Outreach Opportunities: Completed project, Finished work, Past involvement, Legacy, Experience, Track record, Reference project, Potential partner, Future collaboration, Outreach, Leverage, Tap into, Follow-up, Re-engage","Tasks: 1. Identify all companies and organizations mentioned. 2. Extract names of actual people associated with those companies or organizations, with emphasis on: - Strategic decision makers (CEO, COO, CFO, president, vice president, managing director, chairman). - Project decision makers (project director, project manager, operations manager, technical director). - Hiring decision makers (HR director, HR manager, talent acquisition lead, recruitment manager). 3. Map each company’s role and involvement in the specific project described. 4. Build a projected timeline of when each company will begin activities, based on the article. 5. For projects that have already finished, list the companies and people involved that can be leveraged for future outreach. 6. Present the output in a structured table format with columns: - Company - Person(s) - Role in Project - Decision Maker Type (Strategic / Project / Hiring) - Timeline/Status - Outreach Notes",,Last 6 months but prioritise last 30 days,news,
https://www.renewableenergymagazine.com,,Global / EU,,,Same as https://www.rechargenews.com,,news,
https://renewablesnow.com,,EU / Global,,,,,news,
https://www.canarymedia.com,,US / Global,groundbreaking + construction start + EPC contract awarded + engineering procurement construction + civil works begin + foundation installation + turbine delivery + grid connection + site preparation + construction milestone + installation phase + commissioning begins + commissioning completed + operations and maintenance contract + expansion + new office + staffing up + talent acquisition + recruitment drive + job openings + workforce growth + HR initiative + training program + local workforce + job fair + union agreement + skilled trades + technician training + apprenticeship program + workforce development + labor demand + contractor hiring + seasonal workforce + staff augmentation + subcontract awarded + supplier selected + vendor partnership + OEM partnership + component supplier + technology licensing + joint venture agreement + manufacturing expansion + fabrication contract + logistics provider + shipping schedule + supply chain secured + investment round + funding secured + capital investment + project financing closed + loan agreement signed + government grant awarded + tax credit secured + equity partner + funding milestone + budget allocation + merger + acquisition + board appointment + executive leadership change + government approval + environmental permit + planning consent + regulatory clearance + license granted + compliance requirement + policy change + pilot project + demonstration site + prototype installation + technology trial + innovation hub + R&D expansion + digital twin deployment + O&M contract signed + service agreement + maintenance schedule + asset management + lifecycle extension + retrofit program + regional expansion + local hiring + community engagement + training center + delayed project + rescheduled milestone + budget overrun + supply chain disruption + contract renegotiation + port upgrade + marshalling yard + installation hub + grid interconnection + turbine installation vessel + jack-up rig + floating foundation + cable laying contract + electrolyser delivery + hydrogen hub + battery storage commissioning + gigafactory expansion + offshore wind auction + contract for difference + government tender + capacity allocation,"You are tasked with analyzing all articles in the categories: Solar, Wind, Batteries, Electrification, and Newsletter from CanaryMedia.com. For each article:

1. Identify all companies and organizations mentioned.
2. Extract names of actual people associated with those companies or organizations, focusing on:
   - Strategic decision makers (CEO, COO, CFO, president, vice president, managing director, chairman).
   - Project decision makers (project director, project manager, operations manager, technical director).
   - Hiring decision makers (HR director, HR manager, talent acquisition lead, recruitment manager).
3. Map each company’s role and involvement in the specific project described.
4. Build a projected timeline of when each company will begin activities, based on the article.
5. For projects already finished, list the companies and people involved that can be leveraged for future outreach.
6. Present the output in a structured table format with columns:
   - Company
   - Person(s)
   - Role in Project
   - Decision Maker Type (Strategic / Project / Hiring)
   - Timeline/Status
   - Outreach Notes
7. Highlight hiring signals, subcontractor mentions, and operational expansions.

Search Query:
site:canarymedia.com (solar OR wind OR batteries OR electrification OR energy storage OR power grid) 
(project OR initiative OR development OR construction OR installation OR commissioning OR operation OR expansion OR completion OR contract OR agreement OR partnership OR tender OR procurement OR supply OR manufacture OR deliver OR install OR operate OR maintain OR finance OR design OR consult) 
(company OR organisation OR consortium OR developer OR operator OR supplier OR contractor OR partner OR investor OR agency OR consultancy) 
(CEO OR COO OR CFO OR Managing Director OR President OR Vice President OR Chairman OR Board Member OR Country Manager OR Regional Head OR Project Director OR Project Manager OR Operations Manager OR Technical Director OR Construction Director OR Commissioning Manager OR HR Director OR HR Manager OR Talent Acquisition Lead OR Recruitment Manager OR Workforce Planning Manager OR Head of People) 
(groundbreaking OR construction start OR EPC contract awarded OR engineering procurement construction OR civil works begin OR foundation installation OR turbine delivery OR grid connection OR site preparation OR construction milestone OR installation phase OR commissioning begins OR commissioning completed OR operations and maintenance contract OR expansion OR new office OR staffing up OR talent acquisition OR recruitment drive OR job openings OR workforce growth OR HR initiative OR training program OR local workforce OR job fair OR union agreement OR skilled trades OR technician training OR apprenticeship program OR workforce development OR labor demand OR contractor hiring OR seasonal workforce OR staff augmentation OR subcontract awarded OR supplier selected OR vendor partnership OR OEM partnership OR component supplier OR technology licensing OR joint venture agreement OR manufacturing expansion OR fabrication contract OR logistics provider OR shipping schedule OR supply chain secured OR investment round OR funding secured OR capital investment OR project financing closed OR loan agreement signed OR government grant awarded OR tax credit secured OR equity partner OR funding milestone OR budget allocation OR merger OR acquisition OR board appointment OR executive leadership change OR government approval OR environmental permit OR planning consent OR regulatory clearance OR license granted OR compliance requirement OR policy change OR pilot project OR demonstration site OR prototype installation OR technology trial OR innovation hub OR R&D expansion OR digital twin deployment OR O&M contract signed OR service agreement OR maintenance schedule OR asset management OR lifecycle extension OR retrofit program OR regional expansion OR local hiring OR community engagement OR training center OR delayed project OR rescheduled milestone OR budget overrun OR supply chain disruption OR contract renegotiation OR port upgrade OR marshalling yard OR installation hub OR grid interconnection OR turbine installation vessel OR jack-up rig OR floating foundation OR cable laying contract OR electrolyser delivery OR hydrogen hub OR battery storage commissioning OR gigafactory expansion OR offshore wind auction OR contract for difference OR government tender OR capacity allocation)",,Last 6 months but prioritise last 30 days,news,
https://www.utilitydive.com,,US,,"Master string:
(site:utilitydive.com) AND ((""Awarded"" OR ""Contract"" OR ""Agreement"" OR ""Selected"" OR ""PPA"") AROUND(15) (""Project"" OR ""MW"" OR ""GWh"" OR ""EPC"" OR ""Developer"")) AND ((""Solar"" OR ""Wind"" OR ""Offshore"" OR ""Storage"" OR ""Hydrogen"" OR ""Transmission"" OR ""Grid"") AROUND(10) (""Construction"" OR ""Installation"" OR ""Operations"" OR ""Commissioning"")) AND (""Hiring"" OR ""Jobs"" OR ""Workforce"" OR ""Recruitment"" OR ""Expansion"" OR ""Growth"" OR ""Team"") -webinar -podcast -whitepaper -event -conference -forecast -stock ""www.utilitydive.com""

Prime Contract Intelligence:
site:utilitydive.com (""awarded"" OR ""signed"" OR ""contract"") AND (""EPC"" OR ""PPA"" OR ""construction"") AND (""Wind"" OR ""Solar"" OR ""Storage"") ""www.utilitydive.com""


Grid & Infrastructure:
site:utilitydive.com (""transmission"" OR ""interconnection"" OR ""grid"") AND (""investment"" OR ""upgrade"" OR ""project"") AND ""hiring"" ""www.utilitydive.com""

Offshore Wind Mobilization:
site:utilitydive.com ""offshore wind"" AND (""BOEM"" OR ""lease"" OR ""port"") AND (""development"" OR ""supply chain"") ""www.utilitydive.com""",,,news,
https://www.power-technology.com,,Global,"Prime Contract Sourcing:
- contract awarded, contract signed, contract secured, procurement deal
- EPC, EPCI, turnkey, design-build, engineering procurement construction
- project, plant, farm, facility, installation, site development
- construction, civil works, commissioning, engineering, project execution

Leadership Signals:
- appointed, named, elected, promoted, designated, hired, recruited
- CEO, Chief Executive Officer, Managing Director
- Director, Board Director, Non-Executive Director
- VP, Vice President, Senior VP, Executive VP
- Head of, Global Head, Regional Head, Department Head, Division Head

Component & Logistics:
- supply agreement, supply contract, procurement deal, purchase order, framework agreement
- order, bulk order, delivery order, shipment, logistics contract
- partnership, collaboration, joint venture, supplier alliance
- turbines, wind turbines, gas turbines, turbine blades, nacelles
- cables, subsea cables, transmission cables, HVDC cables
- electrolysers, hydrogen electrolysers, PEM electrolysers, alkaline electrolysers
- modules, solar modules, battery modules, power modules, grid modules

Hiring & Recruitment Signals:
- hiring manager, recruitment manager, talent acquisition manager
- HR Director, HR Manager, Head of HR, People Director
- staffing coordinator, workforce planner, resourcing manager
- recruiter, senior recruiter, recruitment consultant
- talent partner, talent lead, global talent head
- job posting, vacancy, open position, career opportunity
- candidate search, candidate pipeline, talent sourcing, onboarding","Prime Contract Sourcing:                                                                                                                                                                                                                                                                                          site:power-technology.com ((""contract awarded"" OR ""EPC"" OR ""EPCI"" OR ""turnkey"") AROUND(10) (""project"" OR ""plant"" OR ""farm"")) AND (""construction"" OR ""engineering"") ""www.power-technology.com""

Leadership Signals:
site:power-technology.com (""appointed"" OR ""named"" OR ""elected"") AROUND(5) (""CEO"" OR ""Director"" OR ""VP"" OR ""Head of"") ""www.power-technology.com""

Component & Logistics:
site:power-technology.com (""supply agreement"" OR ""order"" OR ""partnership"") AND (""turbines"" OR ""cables"" OR ""electrolysers"" OR ""modules"") ""www.power-technology.com""",,,news,
https://www.powerengineeringint.com,,Global,,"Master string:
site:powerengineeringint.com ((""Siemens"" OR ""GE"" OR ""Hitachi"" OR ""Vestas"" OR ""Orsted"" OR ""RWE"" OR ""Iberdrola"" OR ""TotalEnergies"" OR ""Consortium"" OR ""JV"") AROUND(15) (""Project"" OR ""Farm"" OR ""Plant"" OR ""Facility"" OR ""Interconnector"") AND (""EPC"" OR ""Awarded"" OR ""Signed"" OR ""Front End Engineering"" OR ""FID"")) OR ((""Turbine"" OR ""Generator"" OR ""Electrolyzer"" OR ""Module"" OR ""Switchgear"" OR ""Inverter"" OR ""BESS"") AROUND(10) (""Supply"" OR ""Order"" OR ""Manufacturing"" OR ""Gigafactory"")) OR ((""Vessel"" OR ""Transport"" OR ""Logistics"" OR ""Grid"") AROUND(8) (""Installation"" OR ""Construction"" OR ""Commissioning"" OR ""Deployment"")) -webinar -podcast -whitepaper -event -conference -forecast -stock",,,news,
https://www.energyvoice.com,,EU / UK,,"Master string:
site:energyvoice.com ((""Awarded"" OR ""Signed"" OR ""Won"" OR ""Secured"") AROUND(7) (""EPCI"" OR ""Contract"" OR ""Tender"" OR ""FEED"") AND (""Project"" OR ""Development"" OR ""Wind Farm"" OR ""Field"" OR ""Hydrogen"" OR ""CCUS"")) OR ((""Turbines"" OR ""Cables"" OR ""Subsea"" OR ""Electrolyser"" OR ""Drilling"") AROUND(10) (""Supply"" OR ""Manufacturing"" OR ""Provider"" OR ""Deal"")) OR ((""Vessel"" OR ""FPSO"" OR ""Installation"" OR ""Decommissioning"") AROUND(8) (""Campaign"" OR ""Mobilisation"" OR ""Logistics"" OR ""Charter"")) -webinar -podcast -whitepaper -event -conference -forecast -stock ""www.energyvoice.com""

Prime Contracts X-Ray:
site:energyvoice.com (""Awarded"" OR ""Signed"" OR ""Secured"") AROUND(5) (""Contract"" OR ""EPCI"" OR ""FEED"") AND (""Offshore Wind"" OR ""Hydrogen"" OR ""Oil and Gas"") ""www.energyvoice.com""

Supply Chain Trigger:
site:energyvoice.com (""Fabrication"" OR ""Manufacturing"" OR ""Supply Chain"") AROUND(10) (""Turbines"" OR ""Cables"" OR ""Substructures"" OR ""Jackets"") ""www.energyvoice.com""

Mobilization Signal:
site:energyvoice.com (""Vessel"" OR ""Fleet"" OR ""Charter"") AROUND(8) (""Mobilisation"" OR ""Installation"" OR ""Campaign"") ""www.energyvoice.com""

Hiring Signal:
site:energyvoice.com (""Hiring"" OR ""Recruitment"" OR ""Appoints"" OR ""New Role"" OR ""Head of"" OR ""Expansion"" OR ""Create Jobs"") ""www.energyvoice.com""",,,news,
