position,industry
Project Developer / Project Manager / Program Manager,Renewable Energy (General Transition Projects)
Business Development Manager / Commercial Manager,Renewable Energy (General Transition Projects)
Permitting Specialist / Regulatory Affairs Officer,Renewable Energy (General Transition Projects)
Investment Analyst / Market Analyst,Renewable Energy (General Transition Projects)
Policy Advisor / Sustainability Consultant,Renewable Energy (General Transition Projects)
Renewable Energy Engineer / Energy Systems Engineer,Renewable Energy (General Transition Projects)
Environmental Engineer / ESG Specialist,Renewable Energy (General Transition Projects)
Asset Manager / Operations Manager,Renewable Energy (General Transition Projects)
Offshore Wind Engineer / Structural Engineer,Offshore Wind
Cable Engineer / HV Cable Specialist,Offshore Wind
Marine Operations Manager / Vessel Superintendent,Offshore Wind
Installation Technician / Commissioning Engineer,Offshore Wind
Heavy Lift Supervisor / Crane Operator / Rigging Supervisor,Offshore Wind
Blade Repair Technician / Composite Technician,Offshore Wind
Rope Access Technician (IRATA-certified) / Industrial Climber,Offshore Wind
O&M Engineer / Condition Monitoring Specialist,Offshore Wind
HSE Officer / Safety Advisor,Offshore Wind
Wind Turbine Engineer / Electrical Engineer / Civil Engineer,Onshore Wind
Site Manager / Construction Supervisor,Onshore Wind
Commissioning Engineer / Field Technician,Onshore Wind
Service Technician / Maintenance Technician,Onshore Wind
SCADA Specialist / Reliability Engineer,Onshore Wind
Blade Repair Technician / Composite Repair Specialist,Onshore Wind
PV Design Engineer / Electrical Engineer,Solar (Utility-Scale)
Grid Integration Specialist / Transmission Engineer,Solar (Utility-Scale)
EPC Project Manager / Site Supervisor,Solar (Utility-Scale)
Solar Installer / Field Technician,Solar (Utility-Scale)
Asset Manager / Performance Analyst,Solar (Utility-Scale)
Maintenance Technician / Service Engineer,Solar (Utility-Scale)
Process Engineer / Chemical Engineer / Electrolyzer Engineer,Hydrogen / PtX / Green Hydrogen / Ammonia / e-Fuels
Hydrogen Plant Operator / PtX Specialist,Hydrogen / PtX / Green Hydrogen / Ammonia / e-Fuels
Ammonia & e-Fuels Process Technician,Hydrogen / PtX / Green Hydrogen / Ammonia / e-Fuels
Safety Engineer / Quality Assurance Specialist,Hydrogen / PtX / Green Hydrogen / Ammonia / e-Fuels
Project Developer / Regulatory Affairs Specialist,Hydrogen / PtX / Green Hydrogen / Ammonia / e-Fuels
Transmission Engineer / HV Cable Engineer,Grid / Transmission / Interconnectors
Substation Engineer / Protection & Control Engineer,Grid / Transmission / Interconnectors
Grid Control Operator / SCADA Engineer,Grid / Transmission / Interconnectors
Reliability Engineer / Smart Grid Analyst,Grid / Transmission / Interconnectors
Interconnector Project Manager / Regulatory Specialist,Grid / Transmission / Interconnectors
Mechanical Engineer / Pipeline Engineer / Integrity Engineer,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Offshore Operator / Plant Operator,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Maintenance Technician / Service Technician,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Decommissioning Specialist / Nuclear Decommissioning Specialist (where applicable),"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
HSE Advisor / Compliance Officer,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Logistics Coordinator / Marine Superintendent,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
"EPC Contractors (Engineering, Procurement, Construction)","Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
EPC Project Director / EPC Manager,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Construction Manager / Site Manager / Superintendent,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Civil Engineer / Electrical Engineer / Mechanical Engineer,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Procurement Specialist / Buyer / Supply Chain Manager,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Scheduler / Planner / Cost Controller,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
QA/QC Inspector / Quality Assurance Specialist,"Oil & Gas (Transition, Maintenance, Brownfield, Decommissioning)"
Naval Architect / Marine Engineer,Marine & Offshore Construction
Offshore Structural Engineer / Subsea Engineer,Marine & Offshore Construction
Diving Supervisor / ROV Pilot / Subsea Technician,Marine & Offshore Construction
Marine Superintendent / Vessel Manager,Marine & Offshore Construction
Rope Access Technician / Industrial Climber,Marine & Offshore Construction
Safety Officer / HSE Coordinator,Marine & Offshore Construction
Welding Engineer / Fabrication Engineer / Pipefitter,Fabrication Yards & Heavy Industry
